Sample Accession	Sampleset Accession	Analysis Alias	Description	Gender	Links	Attributes	Phenotypes	Disease Sites	Strain	Breed	Sample ID	Sample Title
ERS035455		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0103-CW	AL2
ERS035465		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0105-CW	XD8
ERS035475		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0086-CW	LA10
ERS035485		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0100-CW	JE11
ERS035495		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0095-CW	NIC
ERS035504		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0094-CW	D2
ERS035514		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0081-CW	DEV
ERS035528		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0111-CW	JC9
ERS035537		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0102-CW	XF12
ERS035291		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0077-CW	JC3
ERS035292		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0079-CW	JF6
ERS035293		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0078-CW	QF5
ERS035294		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0112-CW	AUD
ERS035323		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	7G8 x GB4								PG0104-CW	KB8
ERS074129		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0029-Cx	D43
ERS074130		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0040-Cx	7C159
ERS074131		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0046-Cx	7C46
ERS088714		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0022-Cx	3BA6
		pfx-20141022-gatk,pfx-20141022-cortex,pfx-20141022-combined	HB3 x Dd2								PG0033-Cx	CH3_61
